date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:31	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:01%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/5stepstoahealthyrecovery.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/5stepstoahealthyrecovery.jpg	(from http://my-iddah.com/divorcee/)
02:07:33	28771/28771	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:01%20GMT	http://my-iddah.com/5-steps-to-a-healthy-recovery-muslimahs-guide-to-divorce-loss-e-book/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/5-steps-to-a-healthy-recovery-muslimahs-guide-to-divorce-loss-e-book/index.html	(from http://my-iddah.com/divorcee/)
02:07:33	35996/35996	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:04%20GMT	http://my-iddah.com/8-ways-to-cope-with-divorce-through-worship/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/8-ways-to-cope-with-divorce-through-worship/index.html	(from http://my-iddah.com/divorcee/)
02:07:34	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:04%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/8waystocopewithdivorce.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/8waystocopewithdivorce.jpg	(from http://my-iddah.com/divorcee/)
02:07:36	29639/29639	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:05%20GMT	http://my-iddah.com/fiqh-rules-on-iddah/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/fiqh-rules-on-iddah/index.html	(from http://my-iddah.com/divorcee/)
02:07:36	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:05%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/fiqhrulesoniddah.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/fiqhrulesoniddah.jpg	(from http://my-iddah.com/divorcee/)
02:07:39	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:07%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/requiemofamarriage-1.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/requiemofamarriage-1.jpg	(from http://my-iddah.com/divorcee/)
02:07:40	36594/36594	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:10%20GMT	http://my-iddah.com/it-would-never-happen-to-me/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/it-would-never-happen-to-me/index.html	(from http://my-iddah.com/divorcee/)
02:07:41	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:24:10%20GMT	http://my-iddah.com/wp-content/uploads/2016/11/iwassureitwouldneverhappentome.jpg	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/uploads/2016/11/iwassureitwouldneverhappentome.jpg	(from http://my-iddah.com/divorcee/)
02:07:42	36601/36601	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:24:12%20GMT	http://my-iddah.com/single-muslim-mums-organisation-for-single-muslim-mothers/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/single-muslim-mums-organisation-for-single-muslim-mothers/index.html	(from http://my-iddah.com/divorcee/)
